"year","num_speeches","wf_score"
"1981",6,-1.11832912927742
"1982",5,-0.474646081986919
"1983",2,0.35238531513957
"1984",7,0.444409430559911
"1985",4,0.453279732517662
"1986",2,0.327936674784367
"1987",6,0.391143083207561
"1988",10,-0.766705566776353
"1989",9,-0.700521926062032
"1991",5,0.368623399007649
"1992",5,-1.53641359776067
"1993",6,0.554126863403369
"1994",10,-0.926483646273711
"1995",5,0.645477330991388
"1996",11,0.494943292124589
"1997",4,-1.01190979217372
"1998",4,0.704851304356451
"1999",7,0.599934222865749
"2000",10,0.488619325256193
"2001",8,-0.106901900767298
"2002",10,0.391276262582061
"2003",6,-2.05190306825101
"2004",8,0.266138020893975
"2005",8,-1.09222651857177
"2006",13,-2.32551084707384
"2007",14,0.624539090757048
"2008",19,0.531243340419977
"2009",4,1.7044730815103
"2010",7,-0.539422884175121
"2011",10,0.66971483240989
"2012",4,0.258551894319399
"2013",8,-2.0407606255452
"2014",6,0.807216226738494
"2015",12,0.571179704411829
"2016",9,1.43145764874729
"2017",9,1.61021550769034
